AGRICULTURE,ALLEN-LAB,ARCHAEOLOGY,BLANDFORD-LODGE,CARRINGTON,CHANCELLORS,CHEMISTRY,EDITH-MORLEY,FOXHILL-HOUSE,HARRY-NURSTEN,HARBORNE,BUSINESS-SCHOOL,HOPKINS,JJ-THOMSON,KNIGHT,LONDON-ROAD-L04,LONDON-ROAD-L16,LONDON-ROAD-L19,LONDON-ROAD-L22,LONDON-ROAD-L29,LONDON-ROAD-L33,PHILIP-LYLE,MATHEMATICS,METEOROLOGY,MILLER,POLLY-VACHER,PALMER,TYPOGRAPHY,URS,WHITEKNIGHTS-HOUSE
AGRICULTURE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ALLEN-LAB,670,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ARCHAEOLOGY,724,55,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
BLANDFORD-LODGE,853,184,130,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CARRINGTON,610,254,289,365,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CHANCELLORS,990,327,278,152,449,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CHEMISTRY,477,195,248,378,268,521,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
EDITH-MORLEY,750,206,208,231,162,289,332,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FOXHILL-HOUSE,849,717,742,777,469,791,717,548,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HARRY-NURSTEN,480,207,257,386,314,534,48,366,765,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HARBORNE,429,302,347,474,408,624,142,469,843,102,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
BUSINESS-SCHOOL,813,315,315,313,203,323,429,110,472,467,569,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HOPKINS,410,263,316,446,303,589,68,388,727,78,116,480,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JJ-THOMSON,583,90,142,273,254,417,106,263,723,118,216,369,174,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
KNIGHT,686,322,346,394,96,446,363,164,397,409,503,146,398,340,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L04,2162,1627,1595,1494,1562,1352,1786,1455,1424,1819,1920,1366,1843,1707,1478,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L16,2078,1526,1492,1388,1474,1244,1690,1360,1366,1721,1822,1275,1748,1608,1393,123,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L19,2115,1561,1527,1422,1510,1277,1726,1396,1402,1757,1858,1311,1784,1643,1429,105,37,X,X,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L22,2141,1574,1538,1430,1534,1283,1743,1415,1445,1772,1873,1333,1803,1658,1456,161,92,70,X,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L29,2199,1639,1603,1496,1593,1350,1806,1476,1490,1835,1936,1393,1865,1721,1513,126,124,88,70,X,X,X,X,X,X,X,X,X,X,X
LONDON-ROAD-L33,2234,1677,1642,1535,1629,1389,1843,1514,1519,1873,1975,1430,1902,1759,1549,125,156,119,111,41,X,X,X,X,X,X,X,X,X,X
PHILIP-LYLE,379,355,401,529,438,679,181,512,855,149,56,609,135,266,533,1966,1870,1905,1921,1984,2022,X,X,X,X,X,X,X,X,X
MATHEMATICS,560,136,181,309,303,458,93,319,769,80,167,425,153,56,391,1760,1660,1696,1709,1773,1812,221,X,X,X,X,X,X,X,X
METEOROLOGY,76,594,648,777,539,914,401,676,804,405,360,741,334,507,617,2095,2010,2046,2072,2130,2165,312,485,X,X,X,X,X,X,X
MILLER,771,102,52,83,298,226,297,190,735,308,399,289,365,192,342,1545,1441,1476,1487,1552,1591,453,233,694,X,X,X,X,X,X
POLLY-VACHER,589,152,184,304,351,456,140,351,819,113,174,459,191,97,437,1777,1675,1710,1722,1787,1825,231,53,516,236,X,X,X,X,X
PALMER,659,247,273,334,50,407,296,117,471,340,438,154,338,265,76,1517,1427,1464,1487,1546,1582,472,318,587,274,362,X,X,X,X
TYPOGRAPHY,350,734,786,896,553,1000,585,715,578,615,622,731,539,670,585,1980,1911,1947,1983,2034,2066,595,677,349,817,724,599,X,X,X
URS,728,74,58,134,244,263,260,150,688,278,375,257,327,160,292,1553,1452,1487,1500,1564,1603,427,209,651,55,225,222,763,X,X
WHITEKNIGHTS-HOUSE,805,187,166,147,245,204,356,90,631,382,482,167,420,267,254,1441,1341,1376,1391,1454,1493,531,319,730,128,339,205,796,114,X
